Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
1179,Emergency Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,"1, Kasturba Market, Kampoo",474009,0751 262 5377,9893417222,,,a_sao@hotmail.com,,Dr. Satya Sao,9893417222,9893417222,a_sao@hotmail.com,MD (Pathology),Private,YES,NO,24x7,28C/18/75,26-07-1975,4/2/2016,26.191025,78.155889
1180,Captain OS Dewan Memorial Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,"12, Indira Colony, Naya Bazar, Kampoo",474001,,,,,,,,,,,,,,,,NON FUNCTIONAL BLOOD BANK,,,#N/A,#N/A
1181,Cancer Hospital and Research Centre Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,"Mandre Ki Mata, Gwalior",474009,"0751 2336502, 0751 2336505",,,,,,,,,,,NA,,,,,,,26.1891269,78.1643907
1182,Radhaswami Blood Bank Services,Madhya Pradesh,GWALIOR,Gwalior,"Naya Bazar SS Kachoriwale-ke-samne Lashkar, Gwalior",474001,0751 2321034,,,,,,,,,,,NA,,,,,,,26.193562,78.155143
1183,Shri Guruji Raktkosh Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,"Run by Taranekar Samiti Seva Nyas, Gwalior",474001,,,,,,,,,,,,,,,,,,,#N/A,#N/A
1184,Birla Institute of Medical Research Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,"Surya Mandir Road, Gwalior",474006,"0751 2405655, 0751 2416620",,,,,,,,,,,NA,,,,,,,26.235646,78.2116257
1185,District Hospital Blood Bank,Madhya Pradesh,HARDA,Harda,District Hospital,461331,07577 223102,9425981771,,,,,Dr. Ruby Khan,9425981771,9425981771,consultruby@yahoo.com,"MBBS, DCP",Government,NO,NO,24x7,28C/1/2012,7/5/2012,5/5/2017,22.340634,77.093043
1186,District Hospital Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,District Hospital,461001,07574 254446,9425041911,,,bloodbankhbad@gmail.com,,Dr. Dinesh Yadav,9425041911,9425041911,drdinesh37@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/9/98,28-04-1998,31-12-2006,22.452716,77.430707
1187,Society of Saint Joseph Hospital Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,"Housing Board Road, Hoshangabad",461001,0757 4257835,,,,,,,,,,,NA,,,,,,,22.7456386,77.7349264
1188,Harit Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,"In front of Church, Sadar Bazar",461001,07574 252989,,,,,,,,,,,NA,,,,,,,22.7550302,77.7276707
1189,Shreya Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,"Anand Nagar, Main Road",461001,07574 251201,,,,,,,,,,,NA,,,,,,,22.7509181,77.7269665
1190,Civil Hospital Itarsi Blood Bank,Madhya Pradesh,HOSHANGABAD,Itarsi,"Janseva Rugnalaya Civil Hospital, Itarsi",461111,07574 241988,9425041911,,,,,Dr. Dinesh Yadav,9425041911,9425041911,drdinesh37@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/01/99,1999,31-12-2001,22.361975,77.451276
1191,Lahoti Medicare Private Limited Blood Bank,Madhya Pradesh,INDORE, Indore ,"4/5, Old Palasia, Ravindra Nagar, Indore ",,,,,,,,,,,,,Private,,,,,,,22.7223751,75.8908308
1192,MY Hospital & MGM Medical College - State of ART Model Blood Bank ,Madhya Pradesh,INDORE,Indore,"MY Hospital & MGM Medical College, A.B.Road, Indore  ",452001,0731 2438138,9893273236,0731 2438138,0731 2514628,modelbloodbankmyh@gmail.com,https://sites.google.com/site/modelbloodbankmyh/,Dr. Ashok Yadav ,0731 2438138,9893273236,drashokmyh@gmail.com,MD (Pathology),Government,YES,YES,24x7,28C/6/96,1996,31-12-2016,22.714476,75.882875
1193,Modern Blood Bank,Madhya Pradesh,INDORE,Indore,"160 Dreamland Theatre Annex.,  Mhow",453441,0732 4271255,9826064696,,,,,,,,,,NA,,,,,,,22.5549848,75.7612406
1194,Allied Pathology Laboratory and Blood Bank,Madhya Pradesh,INDORE,Indore,"6/E A, Scheme No 54, Opposite Fortune, Landmark Hotel, Vijay Nagar",452010,"0731 2556263, 0731 2553308",,,,,,,,,,,NA,,,,,,,22.7648028,75.8972007
1195,CHL Apollo Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,"Scheme No. 74 C, Sector D, Vijay Nagar",452010,0731 2445566,,,,,,,,,,,NA,,,,,,,22.7576343,75.8851319
1196,Suyash Blood Bank,Madhya Pradesh,INDORE,Indore,A.B. Road (opp M.G.M. Medical College),452001,"0731 2493911, 0731 2493912, 0731 2493913",,,,,,,,,,,NA,,,,,,,22.7137645,75.883995
1197,Mohit Blood Bank Services,Madhya Pradesh,INDORE,Indore,"21-22, Ground Floor Sch.No.54, Opposite, Meghdoot Garden",452010,"0731 5003333, 0731 2552833, 0731 2552844, 0731 2551850",,,,,,,,,,,NA,,,,,,,22.7303214,75.8977238
1198,Lions Club of Indore Blood Bank,Madhya Pradesh,INDORE,Indore,"East 9, Premkumari Hospital, Biyabani, Biyabani, Indore, Madhya Pradesh ",452002,"0731 234 3122, 0731 2760222",,,,,http://www.e-clubhouse.org/sites/indore_east/index.php,,,,,,NA,,,,,,,22.7125571,75.8466107
1199,MP Thalassmia Welfare Society Blood Bank,Madhya Pradesh,INDORE,Indore,"J. H. 53, HIG Nanda Nagar, Indore",452008,0731 4025333,,,,,,,,,,,NA,,,,NON FUNCTIONAL BLOOD BANK,,,22.74441,75.877246
1200,Shubham Pathological Diagnostic Centre Blood Bank,Madhya Pradesh,INDORE,Indore," 77, Bima Nagar, Opp Anand Bazar, Indore",452001,07312 563202,,,,,,,,,,,NA,,,,,,,22.727273,75.894246
1201,Life Line Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,"14, Anoop Nagar, A. B. Road, MIG Circle, Vijay Nagar, Indore, Madhya Pradesh 
",452010,"0731 2575611, 0731 2575612, 0731 2575613",,,,,,,,,,,NA,,,,,,,22.733333,75.8904996
1202,Qurewell Blood Bank of Care Well Hospital Private Limited,Madhya Pradesh,INDORE,Indore,"19/1-C, New Palasia",452001,0731 2434445,,,,,,,,,,,NA,,,,,,,22.729373,75.876087
1203,Noble Pathology Labs Blood Bank,Madhya Pradesh,INDORE,Indore,"37/1, South Tukoganj
",452001,0731 2522970,,,,,,,,,,,NA,,,,,,,22.721063,75.881751
1204,Shri Satya Sai Blood Bank,Madhya Pradesh,INDORE,Indore,"Sai Aradhna, 64 Mahavir Nagar, Kanaria Road
",452016,0731 2590737,,,,,,,,,,,NA,,,,,,,22.7195897,75.9017046
1205,Shri Indore Cloth Market Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,"M. O. G. Lines, Dhar Road
",452017,"0731 2439223, 0731 2439200",,,,,,,,,,,NA,,,,,,,22.7088319,75.8287983
1206,Vishnu Prabha Diagnostic Centre Blood Bank,Madhya Pradesh,INDORE,Indore,"South Tukoganj.Bunglow no.3 Indore

",452001,0731 2522450,"09827030999, 09827351240",,,,,,,,,,NA,,,,,,,22.7205838,75.8765727
1207,Choitram Hospital and Research Centre Blood Bank,Madhya Pradesh,INDORE,Indore,"14, Manik Bagh Road
",452014,"0731 2362491, 0731 2362499, 0731 4206750, 0731 4206759",,,,,,,,,,,NA,,,,,,,22.7063847,75.8556489
1208,Vishesh Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,"2/1, A.B. Road, Near Geeta Bhawan, Chouraha
",452001,"0731 4238111, 0731 2499331, 0731 2499332, 0731 2499333",,,0731 2499330,,,,,,,,NA,,,,,,,22.7187135,75.8882735
1209,Gurjar Hospital and Endoscopy Centre Private Limited Blood Bank,Madhya Pradesh,INDORE,Indore,"44 B, Bhawarkuan Chouraha, A.B. Road
",452009,"0731 2363716, 0731 2363717, 0731 2363718 ",9993172869,,,,http://www.gurjarhospital.in/,,,,,,NA,,,,,,,22.691901,75.866108
1210,Gokuldas Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,"11, Sarju Prasad Marg
",452001,0731 2519212,9826077557,,,,http://www.gokuldashospital.com/,,,,,,NA,,,,,,,22.716411,75.8760433
1211,SNG Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,"16/1, South Tukoganj Kanchan Bagh, Main Road, Near Crown Palace Hotel
",452001,"0731 4219191, 0731 2525555",9826379533,,0731 4041948,,Http://www.snghospital.com,,,,,,NA,,,,,,,22.720246,75.8817
1212,Index Medical College Hospital and Research Centre Blood Bank,Madhya Pradesh,INDORE,Indore,"104, Trishul Apartment, 5, Sanghi Colony, Opposite to Amaltas Hotel, A.B. Road
",462008,0731 4215757,9752538454,,0731 4044715,,,,,,,,NA,,,,,,,22.732016,75.888857
1213,Arihant Hospital and Research Centre Blood Bank,Madhya Pradesh,INDORE,Indore,"Situated in 283- A, Gumasta Nagar
",452009,"0731 2785172, 0731 278517274",,,0731 2785175,,,,,,,,NA,,,,,,,22.701662,75.829585
1214,Aruvindo Blood Banks SAIMS Hospital,Madhya Pradesh,INDORE,Indore,"Indore Ujjain State Highway, Near MR 10 Crossing
",453555,"0731 4231000, 0731 4231100",,,0731 4231010,,http://www.saimsonline.com/medical_coll.php?pid=36,,,,,,NA,,,,,,,22.796953,75.845156
1215,Bombay Hospital Trust Blood Bank,Madhya Pradesh,INDORE,Indore,"Eastern Ring Rd,Ring Rd, IDA Scheme No.94/95, Tulsi Nagar, Vijay Nagar
",452010,0731 2558866,,,,,http://www.bombayhospitalindore.com/,,,,,,NA,,,,,,,22.71957,75.857726
1216,Greater Kailash Hospitals Private Limited Blood Bank,Madhya Pradesh,INDORE,Indore,"111/2, Old Palasia
",452018,"0731 6633333,  0731 4051160, 0731 2491160, 0731 3057935, 0731 4091515",9977220606,,,,http://www.gkh.co.in/,,,,,,NA,,,,,,,22.72527,75.889633
1217,Sanghvi Blood Bank,Madhya Pradesh,INDORE,Indore,"1st Floor, Manas Bhavan, RNT Marg

",452001,"0731 2527081, 0731 4208761",,,,,,,,,,,NA,,,,,,,22.7166872,75.8739793
1218,Verma Union Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,"120, Dhar Road, Opposite to Kastur Cinema
",452002,"0731 2380609, 0731 4022000, 0731 4056651",,,0731 2388394 ,,http://www.varmaunionhospital.com/PATHOLPGY_BLOOD%20BANK.aspx,,,,,,NA,,,,,,,22.71209,75.838098
1219,NSCB Medical College Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,"Netaji Subhash Chandra Bose (NSCB) Medical College, Ist Floor Hospital Premises, Nagpur Road ",482003,"0761 2370951, 0761-2673646 (Extn.300)",8989821487,,0761 2673973,transfusionmedicinejbp@gmail.com,http://nscbmc.ac.in/,Dr. L. K. Patel,8989821487,8989821487,drlokeshpatel@gmail.com,MD (Pathology),Government,YES,YES,24x7,28C/35/97,1/1/2013,31-12-2017,23.149881,79.881151
1220,Rani Durgawati Hospital Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,Rani Durgawati Hospital,482001,0761 261052,9826319646,,,,,,,,,,NA,,,24x7,,,,23.100428,79.565702
1221,District Victoria Hospital Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,Government Seth Govinddas Victoria Hospital,482002,0761 2622202,9424957288,,,,,Dr. Nikhil Dubey,9424957288,"09424927397, 09755163893",nd91956@gmail.com,MD(Pathology),Government,NO,YES,24x7,28C/17/97,31-03-1997,31-12-2012,23.172743,79.936409
1222,Bansal Blood Bank and Transfusion Service,Madhya Pradesh,JABALPUR,Jabalpur,"Sukheja Towers, 1st Floor, Behind Main Bus Stand, 610 Wright Town
",482002,0761 5004322,,,,,,,,,,,NA,,,,,,,23.164273,79.929699
1223,Jabalpur Thalesemia Society Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,"12 Anjuman Shopping Complex, Malviya Chowk Jabalpur
",482002,0761 2401958,9301338741,,,,,,,,,,NA,,,,,,,23.169545,79.932327
1224,Khanna Pathology Lab and Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,"14, Roopram Towers, Golbazar
",482002,0761 2316980,,,,,,,,,,,NA,,,,,,,23.1708138,79.9304742
1225,Military Hospital Blood Bank ,Madhya Pradesh,JABALPUR,Jabalpur,"Military Hospital Jabalpur
",482001,0761 762227,,,,,,,,,,,NA,,,,,,,23.1496957,79.9530199
1226,Jabalpur Blood Bank & Pathology Lab,Madhya Pradesh,JABALPUR,Jabalpur,"21 Hikarini Market, Jabalpur ",,,,,,,,,,,,,Private,,,,,,,23.1624326,79.9972379
1227,District Hospital,Madhya Pradesh,JHABUA,Jhabua,District Hospital.JHABUA,457661,07392 243312,9826175322,N/A,N/A,,,DR. R.G Koushal,9826175322,9826175322,,MBBS. M D,Government,NO,,24X7,28-C/14/97,1/1/2013,31 .12 .2017,22.773068,74.591422
1228,Jivan Jyoti Hospital Blood Bank,Madhya Pradesh,JHABUA,Meghnagar,"Meghnagar
",457779,"07392 243312, 07390 284455",9425945142,,,,,,,,,,NA,,,,,,,22.913396,74.53969
1229,District Hospital Blood Bank,Madhya Pradesh,KATNI,Katni,Government  District Hospital,483501,07622 230367,9425183356,,,,,Dr. Sudha Namdev,9425183356,9425283356,drsudhanamdev@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/5/2005,28-10-2005,28-10-2010,23.832575,80.39196
1230,District Hospital Blood Bank,Madhya Pradesh,KHARGONE,Khargone,"District Hospital, Sanawad Road ",451001,07282 250702,9425496084,,,,http://www.bloodbankkhargone.com,Dr. Ratnesh Mahajan ,7282243454,,,,Government,NO,,24x7,,,,21.831932,75.628611
1231,District Hospital Blood Bank Mandla,Madhya Pradesh,MANDLA,Mandla,District Hospital,481661,07642 253077,9425163929, ,07642 251501,bloodbank_mandla@rediffmail.com,,Dr. Gourav Jetly,07642 253077,9425163929,bloodbank_mandla@rediffmail.com,"MBBS, M.S.",Government,NO,NO,24x7,28C/9/97,13-02-1997,31-12-2007,22.596278,80.370388
1232,District Hospital Blood Bank,Madhya Pradesh,MANDSAUR,Mandsaur,District Hospital,458001,07422 241241,9407101767,,,bbdhmds@gmail.com,,Dr. Saurabh Mandwaria,9407101767,9407101767,dr_sourabh123@yahoo.com,"MBBS, DCP",Government,NO,NO,24x7,28C/20/97,1997,31-12-2007,24.069241,75.071826
1233,Jain Pathology Laboratory and Blood Bank,Madhya Pradesh,MANDSAUR,Mandsaur,"Gandhi Chouraha
",458001,07422 242518,9827070408,,,,,,,,,,NA,,,,,,,24.5550033,75.1727662
1234,District Hospital Blood Bank,Madhya Pradesh,MORENA,Morena,District Hospital,476001,07532 226318,9826246293,,,bloodbankmorena@gmail.com,,Dr. Rakesh Upadhyaya,9826246293,9826246293,drrakeshupadhyay8@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/30/97,7/6/1997,31-12-2007,26.496004,77.998665
1235,Jindal Blood Bank,Madhya Pradesh,MORENA,Morena,"Balkrishna Bhawan, Hospital Road
",476001,0753 2250789,9425126999,,,,,,,,,,NA,,,,,,,26.7048053,78.2265252
1236,District Hospital Narsinghpur Blood Bank ,Madhya Pradesh,NARSINGHPUR,Narsinghpur,Shankar Lal Dubey District Hospital,487001,07792 230480,9407304896,,,,,Dr. Rakesh Sagariya,9074677379,9074677379,sagariya.dr@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/10/97,24-02-1997,31-12-2012,22.565735,79.110807
1237,Indian Red Cross Society (IRCS) Blood Bank,Madhya Pradesh,NEEMUCH,Neemuch,"Indian Red Cross Society, District Hospital Campus
",458441,"07423 223878, 07423 225982",9406612591,,,redcrossbbnmh@gmail.com,,Dr. D. S. Choudhary,9406612591,9406612591,arihantpathologysonography@rediffmail.com,MD (Pathology),Government,NO,NO,24x7,28C/39/97,1/1/2005,31-12-2007,24.460273,74.874825
1238,District Hospital Blood Bank,Madhya Pradesh,PANNA,Panna,District Hospital,488001,07732 253658,9424350011,,,,,,,9424350011,,"MBBS, DCP ",NA,,,24x7,28/c/5/2003 /22.01.2004,,,24.712076,80.181218
1239,District Hospital Blood Bank,Madhya Pradesh,RAISEN,Raisen,District Hospital,464551,07482 222062,9425652351,,,,,,,,,,NA,,,24x7,,,,23.333493,77.78043
1240,District Hospital Blood Bank,Madhya Pradesh,RAJGARH,Rajgarh,District Hospital campus,465661,"07372 201021, 07372 201023",9179375278,,,csurgeonrajmp@mp.nic.in,,Dr. P. K. Jain,9179375278,9179375278,,MD (Pathology),Government,NO,NO,24x7,28C/2/2003,27-06-2003,26-06-2008,24.00976,76.732073
1241,District Hospital Blood Bank,Madhya Pradesh,RATLAM,Ratlam,District Hospital,457001,07412 270445,"07879154365, 09827232032",,,bloodbankrtm@gmail.com,,Dr. Shailendra Solanki,"07879154365, 09827232032","07879154365, 09827232032",solankishailendra99@gmail.com,MD (Pathology),Government,NO,YES,24x7,28C/18/97,19-09-1997,31-12-2007,23.327397,75.038845
1242,Manav Seva Samiti Blood Bank,Madhya Pradesh,RATLAM,Ratlam,"Nagrik Vishram Griha College Road

",457001,0741 2239000 ,9039494095,,,,http://www.manavsevasamiti.com,,,,,,NA,,,,,,,23.3266577,75.039959
1243,S. S. Medical College Blood Bank,Madhya Pradesh,REWA,Rewa,S. S. Medical College,486001,0766 2257441,"09827583242, 09755461008",,07662 251167 ,,http://www.ssmcrewa.com/,Dr. Santosh Singh,"09827583242, 09755461008","09827583242, 09755461008",dr.santoshgwl@gmail.com,MD (Pathology),Government,YES,NO,24x7,28C/8/96,20-12-1996,21-12-2016,24.531793,81.299794
1244,District Hospital Blood Bank,Madhya Pradesh,SAGAR,Sagar,"District Hospital, (Tilli Hospital)",470001,07582 236548,9827245793,,,bloodbankndhsagar@gmail.com,,Dr. R. K. Dixit,9827245793,9827245793,rkdixit35@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/3/94,21-12-1994,31-12-2006,23.492157,78.451821
1245,Bhagyoday Tirth Hospital Blood Bank,Madhya Pradesh,SAGAR,Sagar,"Khurai Road
",470002,0758 2266671,,,,,,,,,,,NA,,,,,,,23.851061,78.722466
1246,Sadguru Blood Bank Chitrakoot,Madhya Pradesh,SATNA,Chitrakoot,"Sadguru Jankikund Chikitsalaya, Chitrakoot",485001,0767  0265320-6445,9935207959,,,slabs@sadgurutrust.org,http://www.sadgurutrust.org/,Dr. ABS Rajput,9935207959,9935207959,slabs@sadgurutrust.org,"MBBS, DCP",Private,NO,NO,24x7,28C/1/2009,1/7/2009,30-04-2014,25.095043,80.515971
1247,District Hospital Blood Bank,Madhya Pradesh,SATNA,Satna,"District Hospital, Blood Bank",485001,07672 223226,9893738846,,,,,,,,,,NA,,,24x7,,,,24.567945,80.832069
1248,MP Birla Hospital and Priyamvada Birla Cancer Research Institute Blood Bank,Madhya Pradesh,SATNA,Satna,"J. R. Birla Road, Post Birla Vikas
",485005,"07672 257411, 07672 257412, 07672 404085","08224003814, 08224003804",,07672 400200,,http://www.mpbirlahospitals.com/,,,,,,NA,,,,,,,24.585065,80.85646
1249,District Hospital Blood Bank,Madhya Pradesh,SEHORE,Sehore,District Hospital,466001,07562 226737,9425650196,,,,,Dr. P. S. Armo,9425650196,9425650196,preetamsingharmo@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/49/97,1/11/2001,31-12-2007,23.198387,77.081271
1250,District Hospital Blood Bank Seoni,Madhya Pradesh,SEONI,Seoni,Smt Indira Gandhi District Hospital Blood Bank ,480661,07692 220358,9827267407,,,bbseoni@gmail.com,,S.N.Gupta LT,9425176023,9425176023,drhvjain@gmail.com,MD (Pathology),Government,NO,NO,24x7,28 c/7/97/1-2-97,1/2/1997,31-12-2007,22.054391,79.330324
1251,Burhar Central Hospital of South Eastern Coal Fields Limited Blood Bank,Madhya Pradesh,SHAHDOL,Dhanpuri,"Sohagpur Area, Dhanpuri Post",484114,07652 250223,9425890427,,,,,Dr. Sangita Tiwari,9425890427,9425890427,sangcil56@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/4/2006,30-09-2006,12/9/2011,23.185907,81.571377
1252,District Hospital Blood Bank,Madhya Pradesh,SHAHDOL,Shahdol,"Shri Kushabhau Thakre, District Hospital",484001,07652 245256,9424646797,,,bloodbankshahdol@gmail.com,,Dr. Shilpi Sharaf,9424646797,9424646797,drshilpisaraf@gmail.com,"MBBS, DCP",Government,NO,NO,24x7,28C/18/96,20-12-1996,31-12-2007,23.30792,81.352897
1253,Murlidhar Kripa Hospital Blood Bank,Madhya Pradesh,SHAJAPUR,Maxi,"Murlidhar Kripa Hospital of JK Mansingh Ka Trust, Maxi District, Shajapur
",465106,"07363 233426, 07363 233428",,,,,,,,,,,NA,,,,NON FUNCTIONAL BLOOD BANK,,,23.2506645,76.1374297
1254,District Hospital Blood Bank,Madhya Pradesh,SHAJAPUR,Shajapur,District Hospital,465001,07364 222127 ,9425034695,,,,,Dr. S. D. Jaiswal,9425034695,9425034695,jaiswalpathsjr@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/02/02,16-08-2002,31-12-2003,23.421106,76.274685
1255,District hospital sheopur,Madhya Pradesh,SHEOPUR,SHEOPUR, District Hospital Sheopur,476337,7746977417,"88,230,786,050,882,300,000,000,000,000,000",8823857039,7530220153,samvidakarmchari.she@gmail.com,,Dr. Rambabu Goyal,9425128462,9425128462,rboyal.ent@gmail.com,"MBBS, DCP",Government,NO,NO,24x7,28C/2/2011,,,25.676067,76.711645
1256,District Hospital Blood Bank,Madhya Pradesh,SHIVPURI,Shivpuri,District Hospital,473551,07492 222362,9406570709,,,csurgeonshimp@nic.in,,Dr. Chandra Mohan Gupta,9406570709,9406570709,,MD (Medicine) ,Government,NO,NO,24x7,28C/45/97,14-08-1997,10/12/2007,25.25408,77.39027
1257,District Hospital Blood Bank,Madhya Pradesh,SIDHI,Sidhi,"District Hospital, Blood Bank",486661,"07822 252207, 07822 252153 ",9584919194,,,civilsurgeonsidhi@gmail.com,,Dr. Rupesh verma,9584919194,9584919194,only9425179033@gmail.com,MD (pathology) ,Government,NO,NO,24x7,28C/1/2008,15-10-2013,14-10-2018,24.413386,81.88065
1258,Nehru Jan shatabdi Chikitsalaya Blood Bank ,Madhya Pradesh,SINGRAULI,Jayant,Nehru Jan shatabdi Chikitsalaya Blood Bank of Northern Coal Field Jyant Sinroli,486661,07805 254982,9406711454,,,,,Dr. S. K. Gupta,9406711454,9406711454,drskguptansc@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/5/2006,27-01-2006,26-10-2011,24.06319,82.383071
1259,Red Cross Blood Bank,Madhya Pradesh,SINGRAULI,Singrauli,"NTPC Hospital, Vindhya Nagar
",486885,07805 245144,,,,,,,,,,,NA,,,,,,,24.0925456,82.6559943
1260,District Hospital Blood Bank,Madhya Pradesh,TIKAMGARH,Tikamgarh,"Rajendra Hospital (District Hospital), Blood Bank",472001,07683 247396 ,9926750416,,,,,Dr. Vikas Jain,9926750416,9926750416,drjainvikas2@gmail.com,MD (Pathology),Government,NO,NO,24x7,28C/05/02,19-07-2002,18-07-2007,24.452408,78.500693
1261,Grassim Hospital and Blood Bank,Madhya Pradesh,UJJAIN,Nagda,"Birlagram Nagda
",456001,07366 247200,,,,,,,,,,,NA,,,,,,,23.4465681,75.407488
1262,District Hospital Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,District Hospital,456006,0734 2551077,9424892191,,,bloodbankujjain2015@gmail.com,,Dr. C. S. Bhargava,9424892191,9424892191,csbhargava12@gmail.com,"MBBS, DCP",Government,NO,NO,24x7,28C/9/96,1996,31-12-2011,23.105277,75.463821
1263,Puspha Mission Hospital and Maternity Home Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,Dewas Road,456001,0734 2526732,9425380020,,,,,,,,,,NA,,,,,,,23.168295,75.795961
1264,Ujjain Charitable Trust Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,"Ujjain
",456001,0734 4013621 ,,,,,,,,,,,NA,,,,,,,23.192897,75.776423
1265,CR Gardi Hospital and RD Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,"Gardi Medical College Sursa
",456006,0736 8261305,9630625611,,07368 261235,rdgmc_@sancharnet.in,http://www.rdgmc.com,Dr. P. L. Dhand,9630625611,9630625611,pldhandrdgmc@gmail.com,MD (Pathology),Private,YES,NO,24x7,28C/22/005,22-06-2010,21-06-2015,23.233015,75.811619
1266,District Hospital Blood Bank,Madhya Pradesh,UMARIA,Umaria,District Hospital,484661,07653 222314,9827079695,,,bloodbankumr@gmail.com,,Dr. S. R. Kanaskar,9827079695,9827079695,santosh_kanaskar@rediffmail.com,"MBBS, DCP",Government,NO,NO,24x7,28C/4/09,16-11-2010,15-11-2015,23.571113,80.390813
1267,District Hospital Blood Bank,Madhya Pradesh,VIDISHA,Vidisha,District Hospital,466001,07592 237825,9926472551,,,,,Dr. Pradeep Gupta,9926472551,9926472551,drpkgupta0@gmail.com,"MBBS, DMC",Government,NO,NO,24x7,28C/03/97,31-01-1997,31-12-2007,23.520189,77.808353
1268,Civil Surgeon General Hospital Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"District Government Hospital Tarakpur Savedi Road, Ahmednagar",414001,0241 2430127 (Office),9552898779,,0241 2430127,bloodbankcha37@gmail.com,,Dr.Shingare Madam,0241 2430127 (Office),"09552898779, 08805557714","bloodbankcha37@gmail.com, csmdngr999@rediffmail.com","MBBS, DCP",Government,YES,NO,24 Hours,1010,8/6/1989,2/6/2015,19.108046,74.73557
1269,Sanjeevani Blood Bank Kopargaon,Maharashtra,AHMEDNAGAR,Ahmednagar,"110, 2/B Nishigandh, Vivekanand Nagar, Near  S.G. Vidyalay, Kopargaon
",423601,"02423 222237, 02423 224885, 02423 223117",7588567384,,,,,Dr. B. S. Dhakane,"02423 222237, 02423 224885, 02423 223117",7588567384,"neeetapatil@gmail.com,",MBBS,Charity,NO,NO,24x7,NKD15,31-08-2000,31-12-2016,19.88042,74.470873
1270,Rotary Blood Bank - Rahuri Charitable Trust,Maharashtra,AHMEDNAGAR,Ahmednagar,"Acharya Anand Rushiji Bhavan, Near Water Tank, Nagar Manmad Road,  A/P Rahuri, Ahmednagar District
",413705,02426 232975,9421329802,,,,,Dr. Ashish Uttamrao Patil,02426 232975,9421329802,rotarybloodbankrahuri@gmail.com,MBBS,Charity,NO,,24 Hours,NKD/4,13-07-1994,29-12-2016,19.419633,74.65553
1271,Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"First Floor, H.No.1542/43, Above Bank of Badoda, Swatantrya Chowk, Sangamner,  Ahmednagar District
",422605,"02425 226036, 02425 220457",9822324340,,,nandkishor@arpanbloodbank.org,http://www.arpanbloodbank.org,Dr. Poonam Nighute,"02425 226036, 02425 220457",9822324340,nandkishor@arpanbloodbank.org,"MBBS, MD (Pathologist)",Charity,YES,,24x7,NKD/3,1/2/2009,1/12/2019,19.569309,74.206528
1272,Jankalyan Blood Bank Nalegaon,Maharashtra,AHMEDNAGAR,Ahmednagar,"Gadgil Patangan, Nalegaon, Ahmednagar

",414001,"0241 2346647, 0241 2329827",9028088589,,0241 2325661,jankalyanbloodbanknagar@rediffmail.com,,Mr. Mukesh Sathaye,"0241 2346647, 0241 2329827",9028088589,"mukesh9s@yahoo.com, jankalyanbloodbanknagar@rediffmail.com","M. Com, MPM",Charity,YES,YES,24 Hours,NKD/16,9/4/1998,31-12-2016,18.501067,73.857499
